"","Package","LibPath","Version","Priority","Built"
"1","abind","C:/R/Library","1.4-5",NA,"3.4.0"
"2","acepack","C:/R/Library","1.4.1",NA,"3.4.0"
"3","akima","C:/R/Library","0.6-2",NA,"3.4.0"
"4","AnalyzeFMRI","C:/R/Library","1.1-16",NA,"3.4.1"
"5","animation","C:/R/Library","2.5",NA,"3.4.3"
"6","aplpack","C:/R/Library","1.3.0",NA,"3.4.0"
"7","arm","C:/R/Library","1.9-3",NA,"3.4.0"
"8","assertthat","C:/R/Library","0.2.0",NA,"3.4.0"
"9","backports","C:/R/Library","1.1.2",NA,"3.4.3"
"10","base64","C:/R/Library","2.0",NA,"3.4.0"
"11","base64enc","C:/R/Library","0.1-3",NA,"3.4.0"
"12","BH","C:/R/Library","1.65.0-1",NA,"3.4.1"
"13","bindr","C:/R/Library","0.1",NA,"3.4.0"
"14","bindrcpp","C:/R/Library","0.2",NA,"3.4.1"
"15","bitops","C:/R/Library","1.0-6",NA,"3.4.0"
"16","brew","C:/R/Library","1.0-6",NA,"3.4.0"
"17","broom","C:/R/Library","0.4.3",NA,"3.4.2"
"18","callr","C:/R/Library","1.0.0",NA,"3.4.2"
"19","car","C:/R/Library","2.1-6",NA,"3.4.3"
"20","carData","C:/R/Library","3.0-0",NA,"3.4.1"
"21","caTools","C:/R/Library","1.17.1",NA,"3.4.1"
"22","cellranger","C:/R/Library","1.1.0",NA,"3.4.0"
"23","checkmate","C:/R/Library","1.8.5",NA,"3.4.2"
"24","cli","C:/R/Library","1.0.0",NA,"3.4.2"
"25","clipr","C:/R/Library","0.4.0",NA,"3.4.2"
"26","clisymbols","C:/R/Library","1.2.0",NA,"3.4.3"
"27","coda","C:/R/Library","0.19-1",NA,"3.4.0"
"28","colorspace","C:/R/Library","1.3-2",NA,"3.4.1"
"29","crayon","C:/R/Library","1.3.4",NA,"3.4.2"
"30","crosstalk","C:/R/Library","1.0.0",NA,"3.4.3"
"31","curl","C:/R/Library","3.1",NA,"3.4.3"
"32","DAAG","C:/R/Library","1.22",NA,"3.4.0"
"33","DAAGxtras","C:/R/Library","0.8-4",NA,"3.4.0"
"34","data.table","C:/R/Library","1.10.4-3",NA,"3.4.2"
"35","DBI","C:/R/Library","0.7",NA,"3.4.1"
"36","dbplyr","C:/R/Library","1.2.0",NA,"3.4.3"
"37","debugme","C:/R/Library","1.1.0",NA,"3.4.3"
"38","desc","C:/R/Library","1.1.1",NA,"3.4.3"
"39","devtools","C:/R/Library","1.13.4",NA,"3.4.3"
"40","DiagrammeR","C:/R/Library","0.9.2",NA,"3.4.2"
"41","dichromat","C:/R/Library","2.0-0",NA,"3.4.0"
"42","digest","C:/R/Library","0.6.14",NA,"3.4.3"
"43","doParallel","C:/R/Library","1.0.11",NA,"3.4.2"
"44","downloader","C:/R/Library","0.4",NA,"3.4.2"
"45","dplyr","C:/R/Library","0.7.4",NA,"3.4.2"
"46","dtplyr","C:/R/Library","0.0.2",NA,"3.4.0"
"47","dygraphs","C:/R/Library","1.1.1.4",NA,"3.4.0"
"48","e1071","C:/R/Library","1.6-8",NA,"3.4.0"
"49","effects","C:/R/Library","4.0-0",NA,"3.4.2"
"50","enc","C:/R/Library","0.1",NA,"3.4.3"
"51","evaluate","C:/R/Library","0.10.1",NA,"3.4.1"
"52","fastICA","C:/R/Library","1.2-1",NA,"3.4.1"
"53","fasttime","C:/R/Library","1.0-2",NA,"3.4.0"
"54","forcats","C:/R/Library","0.2.0",NA,"3.4.2"
"55","foreach","C:/R/Library","1.4.4",NA,"3.4.3"
"56","formatR","C:/R/Library","1.5",NA,"3.4.0"
"57","Formula","C:/R/Library","1.2-2",NA,"3.4.1"
"58","fs","C:/R/Library","1.1.0",NA,"3.4.3"
"59","gamair","C:/R/Library","1.0-0",NA,"3.4.2"
"60","gapminder","C:/R/Library","0.3.0",NA,"3.4.3"
"61","gdtools","C:/R/Library","0.1.6",NA,"3.4.3"
"62","geometry","C:/R/Library","0.3-6",NA,"3.4.1"
